GOOGLE.COM

                         MX     aspmx.l.google.com
pub-0123714929385332.afd.ghs  AAAA   2607:f8b0:4005:808::2013
pub-0172279894103800.afd.ghs  A      172.217.11.51
pub-0176216218898913.afd.ghs  AAAA   2607:f8b0:4006:818::2013
pub-0180978099506732.afd.ghs  A      172.217.12.211
pub-0181231714312659.afd.ghs  AAAA   2607:f8b0:4006:811::2013
pub-0224039709443669.afd.ghs  A      172.217.9.243
pub-0224039709443669.afd.ghs  A      216.58.194.179
pub-0244086907687417.afd.ghs  A      172.217.6.51
pub-0251504301031917.afd.ghs  A      172.217.10.19
pub-0253669611586475.afd.ghs  A      172.217.6.211
pub-0271041678425580.afd.ghs  A      172.217.12.147
pub-0307457525947723.afd.ghs  AAAA   2607:f8b0:4006:819::2013
pub-0310321343722303.afd.ghs  A      172.217.7.19
pub-0310321343722303.afd.ghs  A      172.217.6.83
pub-0323230955873327.afd.ghs  A      216.58.194.211
pub-0323230955873327.afd.ghs  A      172.217.3.115
pub-0331529555888026.afd.ghs  A      74.125.197.121
pub-0331529555888026.afd.ghs  AAAA   2607:f8b0:400e:c03::79
pub-0339372025309319.afd.ghs  A      172.217.10.243
pub-0367630287085634.afd.ghs  A      216.58.195.83
pub-0393995877970856.afd.ghs  A      172.217.11.19
pub-0419113027860069.afd.ghs  A      172.217.7.19
pub-0429040460191708.afd.ghs  A      172.217.9.243
pub-0449167182748412.afd.ghs  A      172.217.3.115
pub-0449167182748412.afd.ghs  AAAA   2607:f8b0:4006:818::2013
pub-0455480519813577.afd.ghs  A      172.217.12.211
pub-0511652635293081.afd.ghs  A      172.217.0.51
pub-0533649342727498.afd.ghs  AAAA   2607:f8b0:4007:803::2013
pub-0553045550892424.afd.ghs  AAAA   2607:f8b0:4007:80d::2013
pub-0559315398402660.afd.ghs  AAAA   2607:f8b0:4006:819::2013
pub-0602200757948563.afd.ghs  A      216.58.195.83
pub-0602511326592683.afd.ghs  A      172.217.12.179
pub-0611139372171684.afd.ghs  A      74.125.20.121
pub-0655178832906040.afd.ghs  AAAA   2607:f8b0:4006:812::2013
pub-0670938192147986.afd.ghs  A      172.217.10.83
pub-0675193288092248.afd.ghs  AAAA   2607:f8b0:4006:810::2013
pub-0691094895515260.afd.ghs  A      172.217.11.19
pub-0723437183173210.afd.ghs  A      172.217.6.51
pub-0726884408874934.afd.ghs  A      172.217.0.51
pub-0730724615614533.afd.ghs  A      216.58.194.211
pub-0751957183152860.afd.ghs  AAAA   2607:f8b0:4006:818::2013
pub-0754935572728062.afd.ghs  A      74.125.195.121
pub-0803816971930425.afd.ghs  A      74.125.142.121
pub-0810288281323078.afd.ghs  A      172.217.12.147
pub-0822965232481802.afd.ghs  AAAA   2607:f8b0:4006:812::2013
pub-0844550850476360.afd.ghs  AAAA   2607:f8b0:4006:812::2013
pub-0845903530435556.afd.ghs  A      172.217.5.83
pub-0888905443960602.afd.ghs  A      172.217.3.115
pub-0908907000835650.afd.ghs  AAAA   2607:f8b0:4006:802::2013
pub-0910381257363697.afd.ghs  AAAA   2607:f8b0:400e:c04::79
pub-0932730625060096.afd.ghs  A      172.217.3.115
pub-0954672105140615.afd.ghs  A      172.217.11.51
pub-0968560562642995.afd.ghs  AAAA   2607:f8b0:4006:800::2013
pub-0988080107385461.afd.ghs  A      172.217.164.115
pub-1012841617189396.afd.ghs  A      172.217.6.83
pub-1027071333672313.afd.ghs  AAAA   2607:f8b0:4006:815::2013
pub-1036419623637498.afd.ghs  AAAA   2607:f8b0:4006:81b::2013
pub-1086102158511980.afd.ghs  AAAA   2607:f8b0:4006:814::2013
pub-1095273724369020.afd.ghs  AAAA   2607:f8b0:4006:814::2013
pub-1099137861365242.afd.ghs  AAAA   2607:f8b0:4006:814::2013
pub-1114062305549645.afd.ghs  A      172.217.10.51
pub-1121886921923945.afd.ghs  AAAA   2607:f8b0:4006:800::2013
pub-1139007143690965.afd.ghs  A      172.217.10.147
pub-1154144101925818.afd.ghs  A      172.217.3.115
pub-1169253007085763.afd.ghs  A      74.125.142.121
pub-1175012030786187.afd.ghs  A      172.217.10.147
pub-1191104610054244.afd.ghs  A      216.58.195.83
pub-1191638652097258.afd.ghs  A      216.58.194.211
pub-1198012883065379.afd.ghs  AAAA   2607:f8b0:4006:801::2013
pub-1202828826258091.afd.ghs  A      172.217.5.211
pub-1252008411805955.afd.ghs  AAAA   2607:f8b0:4006:802::2013
pub-1272775078392332.afd.ghs  A      172.217.11.19
pub-1294650713830561.afd.ghs  A      172.217.7.19
pub-1340884658695613.afd.ghs  AAAA   2607:f8b0:4006:810::2013
pub-1384067499571866.afd.ghs  AAAA   2607:f8b0:4006:818::2013
